index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
139,1000,0.50,500,2,17,0.5000,1.0,39,351.00,0.074538
140,1000,0.50,500,2,17,0.5000,1.0,40,339.00,0.359601
141,1000,0.50,500,2,17,0.5000,1.0,41,329.00,1.079676
142,1000,0.50,500,2,17,0.5000,1.0,42,342.00,0.097874
143,1000,0.50,500,2,17,0.5000,1.0,43,325.00,2.128184
144,1000,0.50,500,2,17,0.5000,1.0,44,317.00,2.667619
145,1000,0.50,500,2,17,0.5000,1.0,45,313.00,2.172545
146,1000,0.50,500,2,17,0.5000,1.0,46,339.00,0.517443
147,1000,0.50,500,2,17,0.5000,1.0,47,300.00,0.365769
148,1000,0.50,500,2,17,0.5000,1.0,48,310.00,1.983713
149,1000,0.50,500,2,17,0.5000,1.0,49,329.00,2.523363
150,1000,0.50,500,2,17,0.5000,1.0,50,352.00,0.113656
151,1000,0.50,500,2,17,0.5000,1.0,51,321.00,0.586462
152,1000,0.50,500,2,17,0.5000,1.0,52,347.00,0.456688
153,1000,0.50,500,2,17,0.5000,1.0,53,293.00,0.309767
154,1000,0.50,500,2,17,0.5000,1.0,54,323.00,0.912135
155,1000,0.50,500,2,17,0.5000,1.0,55,349.00,1.402246
156,1000,0.50,500,2,17,0.5000,1.0,56,330.00,1.734161
157,1000,0.50,500,2,17,0.5000,1.0,57,346.00,0.082860
158,1000,0.50,500,2,17,0.5000,1.0,58,315.00,0.748063
159,1000,0.50,500,2,17,0.5000,1.0,59,338.00,1.763538
160,1000,0.50,500,2,17,0.5000,1.0,60,313.00,1.382802
161,1000,0.50,500,2,17,0.5000,1.0,61,332.00,1.225008
162,1000,0.50,500,2,17,0.5000,1.0,62,364.00,0.179927
163,1000,0.50,500,2,17,0.5000,1.0,63,336.00,0.466572
164,1000,0.50,500,2,17,0.5000,1.0,64,325.00,0.230458
165,1000,0.50,500,2,17,0.5000,1.0,65,314.00,1.326069
166,1000,0.50,500,2,17,0.5000,1.0,66,336.00,0.446598
167,1000,0.50,500,2,17,0.5000,1.0,67,309.00,3.487615
168,1000,0.50,500,2,17,0.5000,1.0,68,314.00,0.429162
169,1000,0.50,500,2,17,0.5000,1.0,69,326.00,0.820307
170,1000,0.50,500,2,17,0.5000,1.0,70,343.00,0.175792
171,1000,0.50,500,2,17,0.5000,1.0,71,339.00,0.327600
172,1000,0.50,500,2,17,0.5000,1.0,72,322.00,0.230283
173,1000,0.50,500,2,17,0.5000,1.0,73,334.00,0.199726
174,1000,0.50,500,2,17,0.5000,1.0,74,305.00,3.725297
175,1000,0.50,500,2,17,0.5000,1.0,75,347.00,0.820201
176,1000,0.50,500,2,17,0.5000,1.0,76,355.00,0.325150
177,1000,0.50,500,2,17,0.5000,1.0,77,345.00,0.354091
178,1000,0.50,500,2,17,0.5000,1.0,78,320.00,1.692626
179,1000,0.50,500,2,17,0.5000,1.0,79,309.00,0.236583
180,1000,0.50,500,2,17,0.5000,1.0,80,335.00,1.984401
181,1000,0.50,500,2,17,0.5000,1.0,81,321.00,0.922850
182,1000,0.50,500,2,17,0.5000,1.0,82,306.00,2.061064
183,1000,0.50,500,2,17,0.5000,1.0,83,339.00,0.210122
184,1000,0.50,500,2,17,0.5000,1.0,84,338.00,0.253991
185,1000,0.50,500,2,17,0.5000,1.0,85,326.00,1.024152
186,1000,0.50,500,2,17,0.5000,1.0,86,332.00,0.827216
187,1000,0.50,500,2,17,0.5000,1.0,87,320.00,1.627704
188,1000,0.50,500,2,17,0.5000,1.0,88,317.00,1.850315
189,1000,0.50,500,2,17,0.5000,1.0,89,318.00,0.533214
190,1000,0.50,500,2,17,0.5000,1.0,90,328.00,0.127035
191,1000,0.50,500,2,17,0.5000,1.0,91,326.00,0.167019
192,1000,0.50,500,2,17,0.5000,1.0,92,350.00,0.547886
193,1000,0.50,500,2,17,0.5000,1.0,93,339.00,0.310593
194,1000,0.50,500,2,17,0.5000,1.0,94,333.00,1.367080
195,1000,0.50,500,2,17,0.5000,1.0,95,341.00,1.652158
196,1000,0.50,500,2,17,0.5000,1.0,96,336.00,0.679502
197,1000,0.50,500,2,17,0.5000,1.0,97,355.00,0.158086
198,1000,0.50,500,2,17,0.5000,1.0,98,332.00,0.164603
199,1000,0.50,500,2,17,0.5000,1.0,99,343.00,1.480888
200,1000,0.50,500,2,17,0.7500,1.5,0,365.00,0.337093
201,1000,0.50,500,2,17,0.7500,1.5,1,366.00,0.345300
