index,n,epsilon,d,m,k,t,repeat,time_mu_s,model_error
345,1000,0.50,500,2,40,0.9334,45,816.00,0.441488
346,1000,0.50,500,2,40,0.9870,46,763.00,0.193338
347,1000,0.50,500,2,40,0.9978,47,81.00,0.178553
348,1000,0.50,500,2,40,0.9708,48,791.00,0.304817
349,1000,0.50,500,2,40,1.0015,49,760.00,0.215123
350,1000,0.50,500,2,40,1.0198,50,750.00,0.335241
351,1000,0.50,500,2,40,1.0513,51,874.00,0.096041
352,1000,0.50,500,2,40,0.9823,52,788.00,0.366487
353,1000,0.50,500,2,40,0.9903,53,820.00,0.365132
354,1000,0.50,500,2,40,0.9773,54,824.00,0.581799
355,1000,0.50,500,2,40,0.9376,55,764.00,0.130612
356,1000,0.50,500,2,40,1.0197,56,800.00,0.681713
357,1000,0.50,500,2,40,1.0060,57,837.00,0.511656
358,1000,0.50,500,2,40,1.0208,58,830.00,0.298686
359,1000,0.50,500,2,40,0.9803,59,808.00,0.364766
360,1000,0.50,500,2,40,1.0129,60,781.00,0.126746
361,1000,0.50,500,2,40,1.0384,61,843.00,0.098687
362,1000,0.50,500,2,40,1.0483,62,878.00,0.860662
363,1000,0.50,500,2,40,0.9941,63,752.00,0.086357
364,1000,0.50,500,2,40,0.9995,64,555.00,0.215625
365,1000,0.50,500,2,40,0.9888,65,784.00,0.098157
366,1000,0.50,500,2,40,1.0351,66,765.00,0.222793
367,1000,0.50,500,2,40,0.9600,67,854.00,0.065463
368,1000,0.50,500,2,40,1.0221,68,818.00,0.170717
369,1000,0.50,500,2,40,0.9415,69,755.00,0.198097
370,1000,0.50,500,2,40,1.0393,70,815.00,0.038022
371,1000,0.50,500,2,40,1.0086,71,786.00,0.221378
372,1000,0.50,500,2,40,1.0621,72,41.00,0.483529
373,1000,0.50,500,2,40,0.9807,73,824.00,0.870349
374,1000,0.50,500,2,40,1.0059,74,790.00,0.237673
375,1000,0.50,500,2,40,0.9973,75,825.00,0.120692
376,1000,0.50,500,2,40,0.9645,76,797.00,0.242530
377,1000,0.50,500,2,40,0.9852,77,814.00,0.080281
378,1000,0.50,500,2,40,0.9200,78,799.00,0.187931
379,1000,0.50,500,2,40,1.0207,79,837.00,0.090252
380,1000,0.50,500,2,40,0.9804,80,772.00,0.225559
381,1000,0.50,500,2,40,0.9637,81,796.00,0.107164
382,1000,0.50,500,2,40,1.0206,82,110.00,0.230569
383,1000,0.50,500,2,40,1.0226,83,850.00,0.174289
384,1000,0.50,500,2,40,1.0458,84,727.00,0.915548
385,1000,0.50,500,2,40,0.9268,85,763.00,0.162065
386,1000,0.50,500,2,40,1.0275,86,805.00,0.426823
387,1000,0.50,500,2,40,0.9469,87,811.00,0.399407
388,1000,0.50,500,2,40,0.9935,88,738.00,0.225457
389,1000,0.50,500,2,40,0.9601,89,810.00,0.299611
390,1000,0.50,500,2,40,0.9999,90,836.00,0.325006
391,1000,0.50,500,2,40,1.0026,91,745.00,0.815412
392,1000,0.50,500,2,40,0.9735,92,770.00,0.239966
393,1000,0.50,500,2,40,0.9941,93,796.00,0.159182
394,1000,0.50,500,2,40,0.9625,94,794.00,0.263308
395,1000,0.50,500,2,40,1.0408,95,794.00,0.501123
396,1000,0.50,500,2,40,1.0447,96,827.00,0.193655
397,1000,0.50,500,2,40,1.0148,97,744.00,0.176667
398,1000,0.50,500,2,40,1.0241,98,776.00,0.122725
399,1000,0.50,500,2,40,1.0169,99,765.00,0.786152
400,1000,0.50,500,2,50,1.0003,0,939.00,0.253577
401,1000,0.50,500,2,50,0.9834,1,941.00,0.117761
402,1000,0.50,500,2,50,0.9568,2,1008.00,0.718107
403,1000,0.50,500,2,50,1.0058,3,1023.00,0.591492
404,1000,0.50,500,2,50,0.9927,4,980.00,0.248620
405,1000,0.50,500,2,50,1.0485,5,700.00,0.408534
406,1000,0.50,500,2,50,0.9657,6,986.00,0.039639
407,1000,0.50,500,2,50,0.9935,7,965.00,0.115544
408,1000,0.50,500,2,50,0.9919,8,925.00,0.138512
409,1000,0.50,500,2,50,0.9858,9,987.00,0.736164
410,1000,0.50,500,2,50,1.0078,10,883.00,0.320008
411,1000,0.50,500,2,50,0.9526,11,1002.00,0.108504
412,1000,0.50,500,2,50,1.0075,12,967.00,0.258750
413,1000,0.50,500,2,50,0.9482,13,1033.00,0.048133
414,1000,0.50,500,2,50,0.9769,14,1004.00,0.785319
415,1000,0.50,500,2,50,1.0823,15,471.00,0.694360
416,1000,0.50,500,2,50,1.0356,16,734.00,0.453977
417,1000,0.50,500,2,50,0.9688,17,957.00,0.197832
418,1000,0.50,500,2,50,0.9815,18,997.00,0.215720
419,1000,0.50,500,2,50,0.9431,19,976.00,0.196451
420,1000,0.50,500,2,50,1.0355,20,992.00,0.267007
421,1000,0.50,500,2,50,0.9410,21,997.00,0.437402
422,1000,0.50,500,2,50,0.9722,22,998.00,0.151259
423,1000,0.50,500,2,50,1.0308,23,994.00,1.344945
